,accuracy,precision,recall,f1,auc
Full XGBoost (Lexical + HTML),0.8593469109113665,0.9032733196301775,0.8970665299612668,0.8998293341858258,0.9266656439652851
Logistic Regression (Lexical Only),0.7511832973034475,0.8856776638677744,0.7427033492822966,0.8069539539139114,0.8415367318088609
Rule-Based Heuristics,0.5529809989759927,0.7214682761650769,0.5935520619731147,0.6506933491997315,0.5251851218956481
